Id,CC_CODE,CC_DESC,MALE,FEMALE,TOTAL,HOUSE,NewYear,Region,Population growth,Population growth rate
1,0,ทั่วประเทศ,32375532,33811195,66186727,27224743,2020,ทั่วประเทศ,-372208,-5.5921567849999999E-3
2,10,กรุงเทพมหานคร,2625938,2962284,5588222,3103483,2020,ภาคกลาง,-78042,-0.013773096347
3,11,สมุทรปราการ ,644516,706963,1351479,711804,2020,ภาคกลาง,6604,4.9104935399999997E-3
4,12,นนทบุรี ,594308,682437,1276745,718799,2020,ภาคกลาง,11358,8.9759101359999996E-3
5,13,ปทุมธานี ,557752,618660,1176412,642474,2020,ภาคกลาง,12808,1.1007181136999999E-2
6,14,พระนครศรีอยุธยา ,393551,425537,819088,336357,2020,ภาคกลาง,-1100,-1.3411559300000001E-3
7,15,อ่างทอง ,132393,144191,276584,101291,2020,ภาคกลาง,-3070,-0.010977851201
8,16,ลพบุรี ,371157,371771,742928,299338,2020,ภาคกลาง,-12628,-1.6713519579999999E-2
9,17,สิงห์บุรี ,97897,108001,205898,78410,2020,ภาคกลาง,-2548,-0.012223789374
10,18,ชัยนาท ,155013,167464,322477,126673,2020,ภาคกลาง,-4134,-1.2657258940999999E-2
11,19,สระบุรี ,316505,327323,643828,283069,2020,ภาคกลาง,-2083,-3.2249025020000001E-3
12,20,ชลบุรี ,763983,802902,1566885,1070209,2020,ภาคตะวันออก,8584,5.5085634930000004E-3
13,21,ระยอง ,364200,377324,741524,506761,2020,ภาคตะวันออก,6771,9.2153417539999997E-3
14,22,จันทบุรี ,262027,273532,535559,243727,2020,ภาคตะวันออก,-2139,-3.9780694730000002E-3
15,23,ตราด ,113131,115405,228536,108270,2020,ภาคตะวันออก,-1422,-6.1837378990000002E-3
16,24,ฉะเชิงเทรา ,353442,367276,720718,313586,2020,ภาคตะวันออก,605,8.4014592100000005E-4
17,25,ปราจีนบุรี ,244018,249652,493670,220064,2020,ภาคตะวันออก,-1010,-2.0417239420000002E-3
18,26,นครนายก ,128627,131454,260081,101547,2020,ภาคตะวันออก,-670,-2.5695011709999998E-3
19,27,สระแก้ว ,280017,280908,560925,217621,2020,ภาคตะวันออก,-5378,-9.4966828710000006E-3
20,30,นครราชสีมา ,1294622,1338585,2633207,1004213,2020,ภาคตะวันออกเฉียงเหนือ,-15720,-5.9344783749999998E-3
21,31,บุรีรัมย์ ,785222,795962,1581184,476118,2020,ภาคตะวันออกเฉียงเหนือ,-14563,-9.1261334029999995E-3
22,32,สุรินทร์ ,685800,692421,1378221,403890,2020,ภาคตะวันออกเฉียงเหนือ,-18610,-1.3323014738000001E-2
23,33,ศรีสะเกษ ,726306,732274,1458580,399090,2020,ภาคตะวันออกเฉียงเหนือ,-14279,-9.6947501420000005E-3
24,34,อุบลราชธานี ,932400,934297,1866697,616810,2020,ภาคตะวันออกเฉียงเหนือ,-11449,-0.006095905217
25,35,ยโสธร ,267016,267484,534500,175666,2020,ภาคตะวันออกเฉียงเหนือ,-2799,-5.2093899299999998E-3
26,36,ชัยภูมิ ,556045,568879,1124924,400583,2020,ภาคตะวันออกเฉียงเหนือ,-12433,-0.010931484133
27,37,อำนาจเจริญ ,187309,188886,376195,120188,2020,ภาคตะวันออกเฉียงเหนือ,-2243,-5.9269946459999997E-3
28,38,บึงกาฬ ,211673,210369,422042,137871,2020,ภาคตะวันออกเฉียงเหนือ,-2049,-4.8315102179999998E-3
29,39,หนองบัวลำภู ,254231,255239,509470,152361,2020,ภาคตะวันออกเฉียงเหนือ,-3310,-6.4550099450000004E-3
30,40,ขอนแก่น ,882462,912069,1794531,640781,2020,ภาคตะวันออกเฉียงเหนือ,-8341,-4.6265070389999996E-3
31,41,อุดรธานี ,777107,790876,1567983,528347,2020,ภาคตะวันออกเฉียงเหนือ,-18663,-0.011762548167
32,42,เลย ,320165,318571,638736,226892,2020,ภาคตะวันออกเฉียงเหนือ,-4214,-6.5541643979999996E-3
33,43,หนองคาย ,256823,260612,517435,178748,2020,ภาคตะวันออกเฉียงเหนือ,-4876,-9.3354342520000008E-3
34,44,มหาสารคาม ,467497,486163,953660,304433,2020,ภาคตะวันออกเฉียงเหนือ,-9005,-9.3542405710000005E-3
