YYMM,CC_CODE,CC_DESC,RCODE_CODE,RCODE_DESC,CCAATT_CODE,CCAATT_DESC,CCAATTMM_CODE,CCAATTMM_DESC,MALE,FEMALE,TOTAL,HOUSE,column14
6312,0,ทั่วประเทศ,0,,0,,0,,32375532,33811195,66186727,27224743,
6312,10,กรุงเทพมหานคร,0,,0,,0,,2625938,2962284,5588222,3103483,
6312,11,จังหวัดสมุทรปราการ ,0,,0,,0,,644516,706963,1351479,711804,
6312,12,จังหวัดนนทบุรี ,0,,0,,0,,594308,682437,1276745,718799,
6312,13,จังหวัดปทุมธานี ,0,,0,,0,,557752,618660,1176412,642474,
6312,14,จังหวัดพระนครศรีอยุธยา ,0,,0,,0,,393551,425537,819088,336357,
6312,15,จังหวัดอ่างทอง ,0,,0,,0,,132393,144191,276584,101291,
6312,16,จังหวัดลพบุรี ,0,,0,,0,,371157,371771,742928,299338,
6312,17,จังหวัดสิงห์บุรี ,0,,0,,0,,97897,108001,205898,78410,
6312,18,จังหวัดชัยนาท ,0,,0,,0,,155013,167464,322477,126673,
6312,19,จังหวัดสระบุรี ,0,,0,,0,,316505,327323,643828,283069,
6312,20,จังหวัดชลบุรี ,0,,0,,0,,763983,802902,1566885,1070209,
6312,21,จังหวัดระยอง ,0,,0,,0,,364200,377324,741524,506761,
6312,22,จังหวัดจันทบุรี ,0,,0,,0,,262027,273532,535559,243727,
6312,23,จังหวัดตราด ,0,,0,,0,,113131,115405,228536,108270,
6312,24,จังหวัดฉะเชิงเทรา ,0,,0,,0,,353442,367276,720718,313586,
6312,25,จังหวัดปราจีนบุรี ,0,,0,,0,,244018,249652,493670,220064,
6312,26,จังหวัดนครนายก ,0,,0,,0,,128627,131454,260081,101547,
6312,27,จังหวัดสระแก้ว ,0,,0,,0,,280017,280908,560925,217621,
6312,30,จังหวัดนครราชสีมา ,0,,0,,0,,1294622,1338585,2633207,1004213,
6312,31,จังหวัดบุรีรัมย์ ,0,,0,,0,,785222,795962,1581184,476118,
6312,32,จังหวัดสุรินทร์ ,0,,0,,0,,685800,692421,1378221,403890,
6312,33,จังหวัดศรีสะเกษ ,0,,0,,0,,726306,732274,1458580,399090,
6312,34,จังหวัดอุบลราชธานี ,0,,0,,0,,932400,934297,1866697,616810,
6312,35,จังหวัดยโสธร ,0,,0,,0,,267016,267484,534500,175666,
6312,36,จังหวัดชัยภูมิ ,0,,0,,0,,556045,568879,1124924,400583,
6312,37,จังหวัดอำนาจเจริญ ,0,,0,,0,,187309,188886,376195,120188,
6312,38,จังหวัดบึงกาฬ ,0,,0,,0,,211673,210369,422042,137871,
6312,39,จังหวัดหนองบัวลำภู ,0,,0,,0,,254231,255239,509470,152361,
6312,40,จังหวัดขอนแก่น ,0,,0,,0,,882462,912069,1794531,640781,
6312,41,จังหวัดอุดรธานี ,0,,0,,0,,777107,790876,1567983,528347,
6312,42,จังหวัดเลย ,0,,0,,0,,320165,318571,638736,226892,
6312,43,จังหวัดหนองคาย ,0,,0,,0,,256823,260612,517435,178748,
6312,44,จังหวัดมหาสารคาม ,0,,0,,0,,467497,486163,953660,304433,
6312,45,จังหวัดร้อยเอ็ด ,0,,0,,0,,644218,654422,1298640,394597,
6312,46,จังหวัดกาฬสินธุ์ ,0,,0,,0,,483447,493728,977175,311145,
6312,47,จังหวัดสกลนคร ,0,,0,,0,,570285,576651,1146936,387699,
6312,48,จังหวัดนครพนม ,0,,0,,0,,357594,359607,717201,231315,
6312,49,จังหวัดมุกดาหาร ,0,,0,,0,,175367,175544,350911,117741,
6312,50,จังหวัดเชียงใหม่ ,0,,0,,0,,862874,921496,1784370,835977,
6312,51,จังหวัดลำพูน ,0,,0,,0,,193381,208630,402011,182323,
6312,52,จังหวัดลำปาง ,0,,0,,0,,355258,373706,728964,295396,
6312,53,จังหวัดอุตรดิตถ์ ,0,,0,,0,,218988,229757,448745,172565,
6312,54,จังหวัดแพร่ ,0,,0,,0,,210973,226377,437350,179040,
6312,55,จังหวัดน่าน ,0,,0,,0,,238738,237989,476727,170708,
6312,56,จังหวัดพะเยา ,0,,0,,0,,227686,239670,467356,195004,
6312,57,จังหวัดเชียงราย ,0,,0,,0,,629960,665066,1295026,558825,
6312,58,จังหวัดแม่ฮ่องสอน ,0,,0,,0,,144311,140238,284549,115163,
6312,60,จังหวัดนครสวรรค์ ,0,,0,,0,,507379,532929,1040308,420803,
6312,61,จังหวัดอุทัยธานี ,0,,0,,0,,159322,166546,325868,125666,
6312,62,จังหวัดกำแพงเพชร ,0,,0,,0,,352711,361407,714118,278306,
6312,63,จังหวัดตาก ,0,,0,,0,,338951,331314,670265,224890,
6312,64,จังหวัดสุโขทัย ,0,,0,,0,,284949,302934,587883,220160,
6312,65,จังหวัดพิษณุโลก ,0,,0,,0,,416234,433247,849481,352300,
6312,66,จังหวัดพิจิตร ,0,,0,,0,,259651,272659,532310,198230,
6312,67,จังหวัดเพชรบูรณ์ ,0,,0,,0,,484886,497054,981940,364119,
6312,70,จังหวัดราชบุรี ,0,,0,,0,,422831,446482,869313,325837,
6312,71,จังหวัดกาญจนบุรี ,0,,0,,0,,447983,443993,891976,348371,
6312,72,จังหวัดสุพรรณบุรี ,0,,0,,0,,404658,433970,838628,306999,
6312,73,จังหวัดนครปฐม ,0,,0,,0,,441884,478845,920729,411586,
6312,74,จังหวัดสมุทรสาคร ,0,,0,,0,,282723,303476,586199,296825,
